lamb_air,flux
8457.675933875988,0.99486476
8457.775906843408,0.9959605
8457.875879810821,0.99694073
8457.975852778232,0.99634045
8458.075825745636,0.996022
8458.175798713033,0.99599385
8458.275771680426,0.9965237
8458.375744647814,0.99473894
8458.475717615198,0.99595386
8458.575690582573,0.9958084
8458.675663549946,0.994034
8458.775636517312,0.99307805
8458.875609484672,0.99385667
8458.975582452027,0.9941861
8459.075555419377,0.99331695
8459.17552838672,0.9921994
8459.275501354059,0.99253964
8459.375474321392,0.9934016
8459.47544728872,0.99408
8459.575420256044,0.99363935
8459.67539322336,0.99372435
8459.77536619067,0.99499816
8459.875339157978,0.99567896
8459.975312125278,0.99513453
8460.075285092573,0.993832
8460.175258059862,0.9941402
8460.275231027146,0.99571836
8460.375203994425,0.996883
8460.4751769617,0.9972205
8460.575149928965,0.9979475
8460.67512289623,0.999102
8460.775095863486,1.000183
8460.875068830737,0.99901795
8460.975041797985,0.9973018
8461.075014765225,0.998551
8461.17498773246,1.0021317
8461.274960699691,1.0032015
8461.374933666915,1.0013281
8461.474906634136,0.99899757
8461.574879601349,0.99793655
8461.674852568556,0.99763906
8461.77482553576,0.9990711
8461.874798502957,1.000765
8461.97477147015,1.0015938
8462.074744437336,1.0017817
8462.174717404516,1.0019054
8462.27469037169,1.0019844
8462.374663338862,1.000722
8462.474636306026,0.999677
8462.574609273186,0.9997396
8462.674582240339,1.0005584
8462.774555207488,1.0013511
8462.874528174632,1.0023243
8462.974501141769,1.0025085
8463.074474108902,1.0015776
8463.174447076028,0.9995722
8463.274420043148,0.99815434
8463.374393010265,0.99830556
8463.474365977376,0.9984558
8463.57433894448,0.9995735
8463.67431191158,1.0014405
8463.774284878675,1.0031403
8463.874257845764,1.0032068
8463.974230812844,1.0014397
8464.074203779925,0.99874526
8464.174176746998,0.99716216
8464.274149714063,0.9997672
8464.374122681123,1.0028954
8464.474095648182,1.0043879
8464.574068615231,1.0025789
8464.674041582277,0.999765
8464.774014549317,0.99824584
8464.873987516352,0.9990013
8464.973960483381,0.99814916
8465.073933450403,0.9950162
8465.173906417422,0.99299574
8465.273879384435,0.99404436
8465.373852351442,0.9948869
8465.473825318444,0.9941366
8465.57379828544,0.99442893
8465.673771252432,0.9957256
8465.773744219417,0.9958875
8465.873717186398,0.99431324
8465.973690153372,0.99195695
8466.07366312034,0.99044913
8466.173636087304,0.9918272
8466.273609054264,0.99449587
8466.373582021217,0.99625856
8466.473554988164,0.9954613
8466.573527955106,0.9938883
8466.673500922043,0.99288386
8466.773473888976,0.9923421
8466.873446855901,0.99160826
8466.973419822822,0.9892726
8467.073392789734,0.9875335
8467.173365756646,0.98838884
8467.273338723551,0.990585
8467.373311690448,0.99083054
8467.473284657342,0.9889012
8467.57325762423,0.98475295
8467.673230591112,0.9817977
8467.77320355799,0.97943157
8467.873176524861,0.97412074
8467.973149491729,0.9652032
8468.073122458587,0.9519754
8468.173095425444,0.9360568
8468.273068392295,0.9213802
8468.373041359138,0.9132246
8468.473014325979,0.9151759
8468.57298729281,0.92578083
8468.672960259639,0.9396975
8468.772933226463,0.95448893
8468.87290619328,0.96851575
8468.972879160092,0.9793199
8469.072852126897,0.98560923
8469.1728250937,0.98873335
8469.272798060496,0.9904893
8469.372771027287,0.9927102
8469.47274399407,0.9960818
8469.572716960849,0.9991824
8469.672689927624,1.000865
8469.772662894395,1.0007033
8469.872635861157,0.99789476
8469.972608827913,0.9959515
8470.072581794666,0.99678147
8470.172554761413,0.9985335
8470.272527728155,0.9998518
8470.372500694892,0.99921083
8470.472473661623,0.99820477
8470.572446628348,0.9971977
8470.672419595068,0.99689436
8470.772392561783,0.9978721
8470.872365528492,0.9994066
8470.972338495196,1.0006514
