lamb_air,flux
8457.675933875988,1.0159358
8457.775906843408,1.0035218
8457.875879810821,0.9974981
8457.975852778232,0.9905556
8458.075825745636,0.98829055
8458.175798713033,0.98197156
8458.275771680426,0.98836297
8458.375744647814,0.9937064
8458.475717615198,0.9956444
8458.575690582573,0.99481034
8458.675663549946,0.9864775
8458.775636517312,0.9840283
8458.875609484672,0.9843384
8458.975582452027,0.98807234
8459.075555419377,0.99079615
8459.17552838672,0.9994966
8459.275501354059,1.0150743
8459.375474321392,1.0182941
8459.47544728872,1.0081769
8459.575420256044,0.9963519
8459.67539322336,0.99797684
8459.77536619067,1.0122092
8459.875339157978,1.0127177
8459.975312125278,1.0040945
8460.075285092573,0.9969977
8460.175258059862,0.9924961
8460.275231027146,0.9946777
8460.375203994425,0.99175173
8460.4751769617,0.99421525
8460.575149928965,0.99542266
8460.67512289623,0.9950619
8460.775095863486,0.9901726
8460.875068830737,0.9918382
8460.975041797985,0.99593997
8461.075014765225,1.0040286
8461.17498773246,1.0074292
8461.274960699691,1.0006964
8461.374933666915,0.98580986
8461.474906634136,0.9791927
8461.574879601349,0.98083055
8461.674852568556,0.99242073
8461.77482553576,1.0075939
8461.874798502957,1.0198692
8461.97477147015,1.0167172
8462.074744437336,1.0059904
8462.174717404516,0.99758345
8462.27469037169,0.994503
8462.374663338862,1.0047629
8462.474636306026,1.0112224
8462.574609273186,1.011308
8462.674582240339,1.0108526
8462.774555207488,1.007914
8462.874528174632,0.99737066
8462.974501141769,0.99650824
8463.074474108902,1.0112939
8463.174447076028,1.0273312
8463.274420043148,1.028229
8463.374393010265,1.0144819
8463.474365977376,1.0000186
8463.57433894448,0.9937723
8463.67431191158,0.9941003
8463.774284878675,0.99237
8463.874257845764,0.99689764
8463.974230812844,1.0072106
8464.074203779925,1.0113838
8464.174176746998,1.0039201
8464.274149714063,0.99622524
8464.374122681123,0.9908448
8464.474095648182,0.99235356
8464.574068615231,0.9959926
8464.674041582277,0.9925826
8464.774014549317,0.9919123
8464.873987516352,0.99766815
8464.973960483381,1.0024561
8465.073933450403,0.9981241
